regulation_code,regulation_name,legacy_status,reconstructed_status,changed,reason_code,evidence_count,evidence_type,unresolved_reason
9c4fa0447fcb122f,채권시장안정 유동화회사보증 업무처리방법,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
e47add008707a9f9,채권철관리기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
448e51cfd2f7ef8f,채권추심 전속업무직원 등 성과급 지급기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
ee020b257f06e26a,채권회수 전속업무직원 등 성과급 지급기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
d0074e93117584a0,채무관계자 관리에 관한 업무처리기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
5f5b41074c944a40,채무관계자 및 소멸시효 관리기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
95ab931c7c8ecf1e,채무불이행자명부등재및재산조회에관한업무처리기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
b91134f89f0430b1,채무인사 등의 기업에 대한 보증 운영기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
5b3ea4fde99e2b77,채무자회생을위한채무감면및출자전환요령,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
f2733fe223483c76,채무조정기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
203f63ce4efad554,채무조정요령,EXTRACTION_PENDING,FULLTEXT_PUBLIC,true,VERIFIED_OFFICIAL_REPRESENTATION,2,PARSER_RUNTIME_MEASUREMENT|OFFICIAL_URL,
93af239acd2806ac,채무조정요령」및 「채무조정기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
797fb9edc5e71b0d,책임자자격부여기준,EXTRACTION_PENDING,FULLTEXT_PUBLIC,true,VERIFIED_OFFICIAL_REPRESENTATION,2,PARSER_RUNTIME_MEASUREMENT|OFFICIAL_URL,
6b557172061aa0d0,처분에 대한 업무처리기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
6f02e30c5caca0cb,청년고용기업에 대한 특례보증 업무처리방법,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
3086e55a43bdb20c,청년고용기업에 대한 특례보증 업무처리방법 외 4개 기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
904b92dfed8030c0,청년·중년창업기업보증운용기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
5f742f3b22e1d7dc,청렴옴부즈만 운영기준,NOTICE_ONLY,NOTICE_ONLY,false,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,1,OFFICIAL_URL,FULLTEXT_REPRESENTATION_NOT_LINKED
c9123586b3705eaa,청렴행동 실천기준,EXTRACTION_PENDING,FULLTEXT_PUBLIC,true,VERIFIED_OFFICIAL_REPRESENTATION,2,PARSER_RUNTIME_MEASUREMENT|OFFICIAL_URL,
